silly_sentence;correct_answer
A circle is round;y
Cats like to chase mice ;y
Leaves change colour in the autumn;y
Mittens go on your hands;y
Birds like to eat worms ;y
You can see stars at night;y
Pencils write on paper;y
Sugar tastes very sweet;y
A giraffe has a long neck;y
On a tv you can watch shows;y
Rabbits like to hop;y
Milk comes from a cow;y
Some kids ride a bus to school;y
People like to sit in a chair;y
Pigs like to play in the mud;y
A rectangle has four sides;y
Camels have large humps;y
A hat goes on your head;y
People can ride on a horse;y
A tower is very tall;y
Plants grow from seeds;y
A chicken can lay eggs;y
A monkey has a long tail;y
You eat at a table;y
Some cats sleep in the sun;y
Dogs have four legs;y
A shape with four sides is a rectangle;y
In the winter some birds fly south;y
some kites can be shaped like a diamond;y
Curtains cover a window;y
A robin is a bird;y
A fox can drive a truck;n
Toads live in a couch;n
A triangle has four corners;n
A snake is covered with fur;n
Cats live in the ground;n
Fire is very cold;n
A swan has purple feathers;n
A baby lion is a chick;n
Trees are made of rock;n
Most grass is red;n
Tigers live on a farm;n
A car can drive on a lake;n
A bicycle has four wheels;n
Elephants are usually blue;n
Mum cooks the food in the bed;n
Fish can swim in the sky;n
Flowers come up in the winter;n
In winter it is very hot;n
Bears sleep all summer;n
Turtles can run fast;n
You wear trousers on your arms;n
A kitten is a baby dog;n
Rain makes things dry;n
You wash clothes in an oven;n
A parrot can pilot a plane;n
Rats can read books;n
Airplanes fly in the water;n
A sheep says moo;n
You can make a snowman in the summer;n
A frog says meow;n
Ducks wear tennis shoes;n
You sleep in a piano;n
Always wear your seatbelt in a car;y
You keep clothes in a dresser;y
You can boil water in a saucepan;y
The colour of a banana is yellow;y
You wear socks on your feet;y
Your teeth are in your mouth;y
A car has four wheels;y
A magician performs magic;y
The number after four is five;y
I can smell with my nose;y
I can see with my eyes;y
The opposite of long is short;y
A house is made of bricks;y
A king wears a crown;y
You can hear with your ears;y
The sea is very deep;y
The number after two is three;y
The number after ten is eleven;y
Stone is very hard;y
Thomas is a name for a boy;y
A baby duck is called a duckling;y
Jack and Jill went up the hill;y
A birthday cake has candles;y
A feather is very light;y
Schools have a playground;y
A flower has petals;y
To make tea you can use a teapot;y
A hairdresser cuts hair;y
You can use an umbrella if it rains;y
Rockets fly in outer space;y
If you are thirsty you have a drink;y
If you are hungry you eat food;y
A pineapple is coloured pink;n
An onion is a fruit;n
We celebrate Christmas in July;n
There are forty months in a year;n
There are two hundred letters in the alphabet;n
A freezer keeps your food warm;n
Pigs live on the moon;n
Horses go to the supermarket;n
A biscuit is made of wood;n
A toaster can drive a kart;n
A shark can run a race;n
Donkeys live in dustbins;n
A bat can fly a in helicopter;n
A squirrel likes to eat potatoes;n
We have Easter in November;n
A suitcase is made of jelly;n
A trampoline is made of butter;n
A crocodile is coloured blue;n
A cloud is made of rubber;n
Boots are made of milk;n
Your nose is on your arm;n
You eat your dinner with a spade;n
Fish can play the guitar;n
You tell the time with a calculator;n
Rainbows appear on the fridge;n
A boat likes to eat crisps;n
Sand is very sharp;n
A book is a musical instrument ;n
Ice cream feels very hot;n
A pavement is made of plums;n
Heavy is the opposite of the short;n
